Date,Location,Variety,Price,Year,Month,Quarter,Day_of_year,Season,Is_Yala,Is_Maha,Price_lag1,Price_lag2,Price_lag3,Price_lag6,Price_lag12,Rolling_Mean_3,Rolling_Mean_6,Rolling_Mean_12,Rolling_Std_3,Rolling_Std_6,Price_vs_3MA,Price_vs_6MA,Price_Change_1m,Price_Change_3m,YoY_Price,YoY_Change,YoY_Change_Pct
2010-01-15,Dambulla,BITTER GOURD,57.05,2010,1,1,15,Yala,1,0,70.75,67.04,55.87,46.95,56.47,64.94666666666666,54.15166666666667,50.4075,7.085833284331096,14.400732504517505,-7.896666666666661,2.8983333333333263,-0.19363957597173154,0.02112045820655095,56.47,0.5799999999999983,1.0270940322294995
2010-02-15,Dambulla,BITTER GOURD,54.73,2010,2,1,46,Yala,1,0,57.05,70.75,67.04,38.2,54.12,60.84333333333333,56.906666666666666,50.458333333333336,8.657490013470087,12.142850845936762,-6.11333333333333,-2.1766666666666694,-0.040666082383873814,-0.1836217183770884,54.12,0.6099999999999994,1.1271249076127114
2010-03-15,Dambulla,BITTER GOURD,40.24,2010,3,1,74,Maha,0,1,54.73,57.05,70.75,36.0,38.65,50.673333333333325,57.61333333333332,50.590833333333336,9.109688981152638,10.72321717893782,-10.433333333333323,-17.37333333333332,-0.26475424812716963,-0.4312367491166077,38.65,1.5900000000000034,4.113842173350591
2010-04-15,Dambulla,BITTER GOURD,26.27,2010,4,2,105,Maha,0,1,40.24,54.73,57.05,55.87,33.7,40.41333333333333,52.68,49.97166666666667,14.230791732483945,16.782583829672955,-14.143333333333327,-26.41,-0.3471669980119285,-0.5395267309377738,33.7,-7.430000000000003,-22.04747774480713
2010-05-15,Dambulla,BITTER GOURD,53.75,2010,5,2,135,Maha,0,1,26.27,40.24,54.73,67.04,46.28,40.086666666666666,50.465,50.594166666666666,13.740641663813719,15.32170715031455,13.663333333333334,3.2849999999999966,1.046060144651694,-0.017906084414397894,46.28,7.469999999999999,16.14088159031979
2010-06-15,Dambulla,BITTER GOURD,66.37,2010,6,2,166,Intermediate1,0,0,53.75,26.27,40.24,70.75,60.28,48.79666666666666,49.73500000000001,51.10166666666667,20.50375900495648,14.227184893716675,17.573333333333345,16.634999999999998,0.23479069767441874,0.6493538767395626,60.28,6.090000000000003,10.10285335102854
2010-07-15,Dambulla,BITTER GOURD,58.65,2010,7,3,196,Intermediate1,0,0,66.37,53.75,26.27,57.05,46.95,59.589999999999996,50.001666666666665,52.07666666666666,6.362295183343902,14.405591159916577,-0.9399999999999977,8.648333333333333,-0.11631761337953905,1.2325846973734298,46.95,11.699999999999996,24.920127795527147
2010-08-15,Dambulla,BITTER GOURD,52.48,2010,8,3,227,Intermediate1,0,0,58.65,66.37,53.75,54.73,38.2,59.166666666666664,49.626666666666665,53.26666666666667,6.959398920405007,14.28668284335684,-6.686666666666667,2.8533333333333317,-0.10520034100596765,-0.023627906976744217,38.2,14.279999999999994,37.38219895287956
2010-09-15,Dambulla,BITTER GOURD,48.9,2010,9,3,258,Intermediate2,0,0,52.48,58.65,66.37,40.24,36.0,53.34333333333333,51.07,54.34166666666667,4.932000946201668,13.56809345486683,-4.443333333333328,-2.1700000000000017,-0.06821646341463417,-0.2632213349404853,36.0,12.899999999999999,35.83333333333333
2010-10-15,Dambulla,BITTER GOURD,63.05,2010,10,4,288,Intermediate2,0,0,48.9,52.48,58.65,26.27,55.87,54.809999999999995,57.199999999999996,54.94,7.357125797483745,6.685578508999845,8.240000000000002,5.850000000000001,0.2893660531697342,0.07502131287297531,55.87,7.18,12.851261857884374
